"","SalePrice","GrLivArea","Neighborhood"
"1",118000,1077,"BrkSide"
"2",157000,1253,"NAmes"
"3",132000,854,"BrkSide"
"4",149000,1004,"NAmes"
"5",139000,1339,"NAmes"
"6",134800,900,"NAmes"
"7",207500,1600,"NAmes"
"8",68500,520,"BrkSide"
"9",165500,1700,"NAmes"
"10",153000,1297,"NAmes"
"11",109000,1057,"NAmes"
"12",82000,1152,"Edwards"
"13",160000,1324,"NAmes"
"14",141000,1150,"NAmes"
"15",114500,1176,"BrkSide"
"16",130000,1360,"NAmes"
"17",180500,1425,"NAmes"
"18",180000,2207,"NAmes"
"19",244000,2223,"NAmes"
"20",144900,1086,"NAmes"
"21",135750,952,"NAmes"
"22",127000,1285,"BrkSide"
"23",193500,2142,"NAmes"
"24",126500,1065,"NAmes"
"25",109900,1040,"NAmes"
"26",98600,1235,"NAmes"
"27",94750,960,"Edwards"
"28",83000,835,"Edwards"
"29",128950,1225,"NAmes"
"30",136900,1855,"Edwards"
"31",155000,1125,"Edwards"
"32",136000,1080,"NAmes"
"33",155000,1348,"NAmes"
"34",150000,1053,"NAmes"
"35",226000,2157,"NAmes"
"36",150750,1327,"NAmes"
"37",143000,1214,"NAmes"
"38",115000,864,"NAmes"
"39",166000,1385,"NAmes"
"40",130000,1709,"Edwards"
"41",105000,875,"BrkSide"
"42",115000,1344,"BrkSide"
"43",79000,1096,"Edwards"
"44",109500,1040,"NAmes"
"45",127500,1355,"Edwards"
"46",215000,1656,"NAmes"
"47",163000,1362,"NAmes"
"48",243000,2158,"Edwards"
"49",120000,1340,"Edwards"
"50",127000,1252,"BrkSide"
"51",184000,1479,"NAmes"
"52",130000,1709,"Edwards"
"53",235000,3112,"NAmes"
"54",140000,1121,"Edwards"
"55",141000,1100,"NAmes"
"56",145000,1092,"NAmes"
"57",98000,864,"Edwards"
"58",186000,1212,"Edwards"
"59",134450,1236,"NAmes"
"60",97000,864,"NAmes"
"61",148000,1194,"NAmes"
"62",113000,1487,"Edwards"
"63",140000,1375,"NAmes"
"64",76500,1306,"BrkSide"
"65",158000,1302,"NAmes"
"66",145000,1314,"NAmes"
"67",176000,1382,"NAmes"
"68",148000,1113,"Edwards"
"69",139000,1632,"NAmes"
"70",205000,1548,"BrkSide"
"71",159000,1734,"NAmes"
"72",88000,858,"NAmes"
"73",153575,1396,"BrkSide"
"74",131000,1716,"Edwards"
"75",167000,1644,"NAmes"
"76",82500,861,"Edwards"
"77",132000,972,"NAmes"
"78",242000,2978,"NAmes"
"79",145250,1383,"NAmes"
"80",214500,2134,"BrkSide"
"81",119000,1728,"NAmes"
"82",139000,1056,"NAmes"
"83",155000,1215,"NAmes"
"84",87500,1040,"NAmes"
"85",140200,1577,"BrkSide"
"86",151500,958,"NAmes"
"87",157500,1478,"NAmes"
"88",95000,1111,"Edwards"
"89",145000,1505,"BrkSide"
"90",198500,1922,"Edwards"
"91",159000,1394,"NAmes"
"92",165000,1431,"NAmes"
"93",132000,1268,"NAmes"
"94",162000,1287,"NAmes"
"95",123000,1319,"NAmes"
"96",61000,904,"Edwards"
"97",81000,1184,"Edwards"
"98",125000,1125,"Edwards"
"99",119000,1367,"Edwards"
"100",106500,882,"NAmes"
"101",100000,788,"BrkSide"
"102",129000,1144,"Edwards"
"103",169500,1812,"NAmes"
"104",60000,1276,"Edwards"
"105",126000,1134,"Edwards"
"106",142000,1056,"NAmes"
"107",139000,1196,"NAmes"
"108",109008,907,"NAmes"
"109",119000,904,"BrkSide"
"110",110000,1196,"Edwards"
"111",118000,1440,"Edwards"
"112",162900,1573,"BrkSide"
"113",127500,1689,"Edwards"
"114",190000,1888,"NAmes"
"115",110000,1203,"BrkSide"
"116",167000,1277,"NAmes"
"117",146500,1644,"NAmes"
"118",148000,1072,"Edwards"
"119",147000,1113,"NAmes"
"120",156000,1073,"NAmes"
"121",133000,1578,"NAmes"
"122",155000,1269,"NAmes"
"123",184000,1820,"BrkSide"
"124",120000,912,"NAmes"
"125",140000,1214,"Edwards"
"126",124500,1041,"NAmes"
"127",164900,1363,"NAmes"
"128",129900,864,"NAmes"
"129",150000,1244,"NAmes"
"130",159000,1664,"BrkSide"
"131",184750,4676,"Edwards"
"132",132000,928,"NAmes"
"133",86000,605,"Edwards"
"134",128000,1362,"BrkSide"
"135",107500,827,"NAmes"
"136",39300,334,"BrkSide"
"137",107500,1347,"Edwards"
"138",111250,864,"NAmes"
"139",133000,767,"NAmes"
"140",210000,1635,"BrkSide"
"141",108000,1126,"Edwards"
"142",113000,1048,"BrkSide"
"143",141000,1092,"NAmes"
"144",108000,996,"Edwards"
"145",185000,1674,"Edwards"
"146",135960,943,"NAmes"
"147",142600,1728,"NAmes"
"148",120000,864,"NAmes"
"149",139000,1109,"NAmes"
"150",118500,1216,"NAmes"
"151",181900,1429,"NAmes"
"152",118500,816,"Edwards"
"153",133000,1573,"BrkSide"
"154",130000,838,"BrkSide"
"155",79500,935,"BrkSide"
"156",205000,1986,"NAmes"
